0,1,2,3,4,5,6
label,name,ref,characteristic,label,name,rel
需求 ,需要陶瓷刀头,-,-,需求,刀头材质,1
需求 ,不锈钢刀头好不好？,-,-,需求,刀头材质,1
需求 ,陶瓷刀头会不会断裂,-,-,需求,刀头材质,1
需求 ,不锈钢刀头可以打磨吗,-,-,需求,刀头材质,1
需求 ,哪款刀头使用时间比较久,-,-,需求,刀头材质,1
需求 ,钛合金刀头锋利吗,-,-,需求,刀头材质,1
需求 ,在洗澡的时候用，哪一款防水性能比较好？,-,-,需求,防水,1
需求 ,请问A款电推剪的防水级别是多少？,-,-,需求,防水,1
需求 ,我需要一款电推剪，可全身水洗,-,-,需求,防水,1
需求 ,是不是只能清洗刀头，机身能否清洗,-,-,需求,防水,1
需求 ,水洗机身会出故障吗,-,-,需求,防水,1
需求 ,我想要充电式的,-,-,需求,充电方式,1
需求 ,有没有充电或电池两种方式供电的电推剪,-,-,需求,充电方式,1
需求 ,我想买一个电池供电的,-,-,需求,充电方式,1
需求 ,有没有TypeC充电的电推剪,-,-,需求,充电方式,1
需求 ,需要一款USB充电的,-,-,需求,充电方式,1
需求 ,有没有无线充电的？,-,-,需求,充电方式,1
需求 ,这一款只有插电供电吗,-,-,需求,充电方式,1
需求 ,充电时间控制在1小时以内的电推剪是哪一款,-,-,需求,充电时间,1
需求 ,想要一款充电时也能使用的电推剪,-,-,需求,充电时间,1
需求 ,在店里使用，强度较高，需要购买充电时间比较短的,-,-,需求,充电时间,1
需求 ,听说锂电池耐用一些，想买一款锂电池的,-,-,需求,电池类型,1
需求 ,是干电池供电吗？,-,-,需求,电池类型,1
需求 ,这款有没有镍氢电池的,-,-,需求,电池类型,1
需求 ,电池是否需要自己购买,-,-,需求,电池类型,1
需求 ,家里有1.5V电压的充电电池，有没有哪款电推剪适配,-,-,需求,电池类型,1
需求 ,有没有定位疏？,-,-,需求,推头调节,1
需求 ,推头是否可以自动调节？,-,-,需求,推头调节,1
需求 ,想要一款旋钮调节推头的,-,-,需求,推头调节,1
需求 ,定位梳有几个？,-,-,需求,推头调节,1
需求 ,想买一款噪音小的，客人说噪音大会震的耳朵响,-,-,需求,噪音,1
需求 ,哪一款噪音比较小？,-,-,需求,噪音,1
需求 ,这款噪音大吗？,-,-,需求,噪音,1
需求 ,震动大吗？噪音大吗？使用久了手会不会疼？,-,-,需求,噪音,1
需求 ,给小孩子使用，哪一款噪音比较小,-,-,需求,开关类型,1
需求 ,开关有几个挡位？,-,-,需求,开关类型,1
需求 ,需要买一款滑动式开关,-,-,需求,开关类型,1
需求 ,有没有能调节档位的功能,-,-,需求,开关类型,1
需求 ,你好，请问有没有触屏功能,-,-,需求,触屏,1
需求 ,显示屏上能否显示电量,-,-,需求,触屏,1
需求 ,是否有触屏记忆功能,-,-,需求,触屏,1
需求 ,触屏能否锁屏？,-,-,需求,触屏,1
